condition,drug,indication,type,reviews,effectiveness,ease_of_use,satisfaction,effectiveness_cat,ease_of_use_cat,satisfaction_cat,performance,weighted_performance,disease_class,review_category
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,10,2.5,3.5,2.5,low,medium,Low,2.8333333333333335,2.7,Infectious Disease,medium
Acute Bacterial Sinusitis,Moxifloxacin-Sod.Chloride(Iso),On Label,RX,5,2.33,2.33,2.0,low,low,Very Low,2.22,2.264,Infectious Disease,medium
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5,3.0,5.0,3.0,low,high,Low,3.6666666666666665,3.4,Infectious Disease,medium
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,4,5.0,4.0,5.0,high,medium,Very High,4.666666666666667,4.8,Infectious Disease,medium
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,medium
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,2,5.0,4.0,4.5,high,medium,Very High,4.5,4.7,Infectious Disease,low
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,2,4.0,4.0,4.0,medium,medium,High,4.0,4.0,Infectious Disease,low
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,1,5.0,2.0,4.0,high,low,High,3.6666666666666665,4.2,Infectious Disease,low
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1,5.0,1.0,1.0,high,low,Very Low,2.3333333333333335,3.4000000000000004,Infectious Disease,low
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,1,3.0,2.0,1.0,low,low,Very Low,2.0,2.4,Infectious Disease,low
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,1,4.0,4.0,4.0,medium,medium,High,4.0,4.0,Infectious Disease,low
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,low
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1,4.0,4.0,5.0,medium,medium,Very High,4.333333333333333,4.2,Infectious Disease,low
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1,5.0,4.0,5.0,high,medium,Very High,4.666666666666667,4.8,Infectious Disease,low
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,low
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1,3.0,3.0,3.0,low,low,Low,3.0,3.0,Infectious Disease,low
Adenocarcinoma Of Pancreas,Capecitabine,Off Label,RX,156,3.75,3.78,3.62,medium,medium,High,3.7166666666666663,3.7300000000000004,Oncology,high
Adenocarcinoma Of Pancreas,Cisplatin,Off Label,RX,33,4.27,3.45,3.45,high,medium,Medium,3.723333333333333,3.9419999999999997,Oncology,high
Adenocarcinoma Of Pancreas,Oxaliplatin,Off Label,RX,29,4.0,2.8,2.8,medium,low,Low,3.1999999999999997,3.52,Oncology,high
Adenocarcinoma Of Pancreas,Paclitaxel-Protein Bound,On Label,RX,27,4.18,4.0,3.77,high,medium,High,3.983333333333333,4.061999999999999,Oncology,high
Adenocarcinoma Of Pancreas,Gemcitabine,On Label,RX,26,3.44,3.11,2.67,medium,medium,Low,3.073333333333333,3.2199999999999998,Oncology,high
Adenocarcinoma Of Pancreas,Gemcitabine,On Label,RX,17,3.25,4.0,3.0,medium,medium,Low,3.4166666666666665,3.35,Oncology,medium
Adenocarcinoma Of Pancreas,Capecitabine,Off Label,RX,10,3.75,4.5,3.75,medium,high,High,4.0,3.9,Oncology,medium
Adenocarcinoma Of Pancreas,Fluorouracil,On Label,RX,5,3.0,1.0,3.0,low,low,Low,2.3333333333333335,2.5999999999999996,Oncology,medium
Adenocarcinoma Of Pancreas,Mitomycin,On Label,RX,4,2.5,2.0,2.0,low,low,Very Low,2.1666666666666665,2.3,Oncology,medium
Adenocarcinoma Of Pancreas,Doxorubicin,Off Label,RX,4,2.0,2.0,3.0,low,low,Low,2.3333333333333335,2.2,Oncology,medium
Adenocarcinoma Of Pancreas,Oxaliplatin,Off Label,RX,3,5.0,5.0,3.0,high,high,Low,4.333333333333333,4.6,Oncology,medium
Adenocarcinoma Of Pancreas,Doxorubicin,Off Label,RX,2,1.0,3.0,1.0,low,low,Very Low,1.6666666666666667,1.4000000000000001,Oncology,low
Adenocarcinoma Of Pancreas,Cisplatin,Off Label,RX,1,3.0,3.0,3.0,low,low,Low,3.0,3.0,Oncology,low
Adenocarcinoma Of Pancreas,Paclitaxel-Protein Bound,On Label,RX,1,3.0,2.0,3.0,low,low,Low,2.6666666666666665,2.8,Oncology,low
Atopic Dermatitis,Prednisone,On Label,RX,2575,3.54,3.64,2.74,medium,medium,Low,3.3066666666666666,3.4000000000000004,Dermatological,high
Atopic Dermatitis,Methylprednisolone,On Label,RX,586,3.3,3.92,2.82,medium,medium,Low,3.3466666666666662,3.328,Dermatological,high
Atopic Dermatitis,Cetirizine,Off Label,OTC,364,3.59,4.18,2.81,medium,high,Low,3.526666666666667,3.5519999999999996,Dermatological,high
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,321,3.03,3.17,2.68,medium,medium,Low,2.9599999999999995,2.988,Dermatological,high
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,235,4.0,4.44,3.85,medium,high,High,4.096666666666667,4.058,Dermatological,high
Atopic Dermatitis,Clobetasol,On Label,RX,151,3.94,4.34,3.82,medium,high,High,4.033333333333333,3.9959999999999996,Dermatological,high
Atopic Dermatitis,Methylprednisolone,On Label,RX,129,3.39,3.97,3.11,medium,medium,Medium,3.49,3.4499999999999997,Dermatological,high
Atopic Dermatitis,Methylprednisolone,On Label,RX,118,3.35,3.31,2.92,medium,medium,Low,3.1933333333333334,3.256,Dermatological,high
Atopic Dermatitis,Dexamethasone,On Label,RX,113,3.38,3.27,2.47,medium,medium,Low,3.0400000000000005,3.176,Dermatological,high
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,104,3.52,3.0,3.14,medium,low,Medium,3.22,3.3400000000000003,Dermatological,high
Atopic Dermatitis,Cetirizine,Off Label,RX/OTC,89,3.27,4.14,3.05,medium,high,Medium,3.486666666666667,3.4,Dermatological,high
Atopic Dermatitis,Pimecrolimus,On Label,RX,79,3.26,4.14,3.17,medium,high,Medium,3.5233333333333334,3.4179999999999997,Dermatological,high
Atopic Dermatitis,Fluocinonide,On Label,RX,68,4.7,4.7,4.7,high,high,Very High,4.7,4.7,Dermatological,high
Atopic Dermatitis,Dexamethasone,On Label,RX,59,3.67,3.2,1.93,medium,medium,Very Low,2.9333333333333336,3.228,Dermatological,high
Atopic Dermatitis,Desonide,On Label,RX,57,2.9,4.1,2.9,low,high,Low,3.3000000000000003,3.14,Dermatological,high
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,57,3.91,4.55,4.0,medium,high,High,4.153333333333333,4.056,Dermatological,high
Atopic Dermatitis,Dexamethasone,On Label,RX,54,3.38,3.12,2.27,medium,medium,Low,2.9233333333333333,3.1060000000000003,Dermatological,high
Atopic Dermatitis,Tacrolimus,On Label,RX,54,3.62,4.1,3.62,medium,high,High,3.78,3.716,Dermatological,high
Atopic Dermatitis,Clobetasol,On Label,RX,47,3.89,4.04,3.43,medium,high,Medium,3.7866666666666666,3.8280000000000003,Dermatological,high
Atopic Dermatitis,Mometasone,On Label,RX,43,4.88,4.88,4.88,high,high,Very High,4.88,4.88,Dermatological,high
Atopic Dermatitis,Hydrocortisone,On Label,RX,41,4.36,4.23,3.59,high,high,High,4.06,4.18,Dermatological,high
Atopic Dermatitis,Methylprednisolone,On Label,RX,41,3.5,3.9,3.3,medium,medium,Medium,3.5666666666666664,3.54,Dermatological,high
Atopic Dermatitis,Desoximetasone,On Label,RX,38,3.44,4.67,3.11,medium,high,Medium,3.7399999999999998,3.62,Dermatological,high
Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,34,4.2,4.2,4.0,high,high,High,4.133333333333334,4.16,Dermatological,high
Atopic Dermatitis,Hydrocortisone,On Label,RX,33,4.31,4.13,3.69,high,high,High,4.043333333333333,4.15,Dermatological,high
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,32,3.22,3.33,3.11,medium,medium,Medium,3.22,3.2199999999999998,Dermatological,high
Atopic Dermatitis,Hydrocortisone Butyr-Emollient,On Label,RX,31,4.57,4.86,4.43,high,high,Very High,4.62,4.6,Dermatological,high
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,28,4.31,4.38,4.15,high,high,High,4.28,4.292,Dermatological,high
Atopic Dermatitis,Mometasone,On Label,RX,28,4.67,4.5,4.67,high,high,Very High,4.613333333333333,4.636,Dermatological,high
Atopic Dermatitis,Prednisone,On Label,RX,24,1.0,2.8,1.0,low,low,Very Low,1.5999999999999999,1.3599999999999999,Dermatological,high
Atopic Dermatitis,Fluocinolone,On Label,RX,24,4.45,4.55,4.36,high,high,Very High,4.453333333333333,4.452,Dermatological,high
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,24,3.75,3.5,3.75,medium,medium,High,3.6666666666666665,3.7,Dermatological,high
Atopic Dermatitis,Methylprednisolone,On Label,RX,23,3.67,4.33,3.17,medium,high,Medium,3.723333333333333,3.702,Dermatological,high
Atopic Dermatitis,Dexamethasone,On Label,RX,22,2.4,2.8,1.8,low,low,Very Low,2.333333333333333,2.36,Dermatological,high
Atopic Dermatitis,Vit E-Grape-Hyaluronate Sodium,On Label,RX,22,3.69,4.54,3.77,medium,high,High,4.0,3.876,Dermatological,high
Atopic Dermatitis,Fluocinonide,On Label,RX,21,3.8,4.2,3.6,medium,high,High,3.8666666666666667,3.8400000000000003,Dermatological,high
Atopic Dermatitis,Cortisone,On Label,RX,20,4.6,4.2,3.2,high,high,Medium,4.0,4.24,Dermatological,high
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,20,3.8,4.6,3.8,medium,high,High,4.066666666666666,3.96,Dermatological,high
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,19,3.33,3.67,3.33,medium,medium,Medium,3.4433333333333334,3.398,Dermatological,high
Atopic Dermatitis,Prednisone,On Label,RX,18,4.33,3.33,2.33,high,medium,Low,3.33,3.73,Dermatological,high
Atopic Dermatitis,Clobetasol,On Label,RX,18,4.75,4.38,4.13,high,high,High,4.419999999999999,4.552,Dermatological,high
Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,18,3.0,3.67,3.0,low,medium,Low,3.223333333333333,3.134,Dermatological,high
Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,17,4.0,3.7,3.6,medium,medium,High,3.766666666666667,3.8600000000000003,Dermatological,medium
Atopic Dermatitis,Desoximetasone,On Label,RX,17,3.67,4.67,3.67,medium,high,High,4.003333333333333,3.87,Dermatological,medium
Atopic Dermatitis,Halobetasol Propionate,On Label,RX,16,5.0,4.67,5.0,high,high,Very High,4.89,4.934,Dermatological,medium
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,15,3.67,3.0,3.67,medium,low,High,3.4466666666666668,3.536,Dermatological,medium
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,14,3.88,4.75,3.5,medium,high,Medium,4.043333333333333,3.978,Dermatological,medium
Atopic Dermatitis,Hydrocortisone-Iodoquinl-Aloe2,Unknown,RX,14,3.0,3.0,3.0,low,low,Low,3.0,3.0,Dermatological,medium
Atopic Dermatitis,Fluocinonide,On Label,RX,12,4.25,4.0,4.0,high,medium,High,4.083333333333333,4.1499999999999995,Dermatological,medium
Atopic Dermatitis,"Betamethasone Acet,Sod Phos",On Label,RX,12,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Fluocinolone,On Label,RX,11,4.14,4.29,4.0,high,high,High,4.1433333333333335,4.1419999999999995,Dermatological,medium
Atopic Dermatitis,Prednisolone,On Label,RX,10,3.33,3.0,3.0,medium,low,Low,3.11,3.198,Dermatological,medium
Atopic Dermatitis,Fluocinolone,On Label,RX,10,3.75,4.25,3.75,medium,high,High,3.9166666666666665,3.85,Dermatological,medium
Atopic Dermatitis,Cetirizine,Off Label,OTC,10,4.0,4.5,3.75,medium,high,High,4.083333333333333,4.05,Dermatological,medium
Atopic Dermatitis,"Betamethasone, Augmented, Betamethasone Dipropionate",On Label,RX,9,3.75,4.25,3.5,medium,high,Medium,3.8333333333333335,3.8000000000000003,Dermatological,medium
Atopic Dermatitis,Prednicarbate,On Label,RX,9,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,9,3.0,3.0,3.0,low,low,Low,3.0,3.0,Dermatological,medium
Atopic Dermatitis,Cetirizine,Off Label,OTC,9,3.0,4.33,1.67,low,high,Very Low,3.0,3.0,Dermatological,medium
Atopic Dermatitis,Fluticasone Propionate,On Label,RX,9,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Flurandrenolide,On Label,RX,8,3.0,5.0,2.33,low,high,Low,3.4433333333333334,3.266,Dermatological,medium
Atopic Dermatitis,"Hydrocortisone-Pramoxine, Hydrocortisone",On Label,RX,8,3.75,4.75,3.75,medium,high,High,4.083333333333333,3.95,Dermatological,medium
Atopic Dermatitis,Fluocinolone,On Label,RX,8,3.0,3.5,3.0,low,medium,Low,3.1666666666666665,3.1,Dermatological,medium
Atopic Dermatitis,"Betamethasone, Augmented",On Label,RX,8,3.67,4.67,3.67,medium,high,High,4.003333333333333,3.87,Dermatological,medium
Atopic Dermatitis,Diflorasone,On Label,RX,7,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,7,4.33,5.0,4.33,high,high,High,4.553333333333334,4.464,Dermatological,medium
Atopic Dermatitis,Clobetasol,On Label,RX,7,3.25,5.0,3.25,medium,high,Medium,3.8333333333333335,3.6,Dermatological,medium
Atopic Dermatitis,Desonide,On Label,RX,7,4.67,4.67,4.67,high,high,Very High,4.67,4.67,Dermatological,medium
Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,7,2.0,2.67,2.0,low,low,Very Low,2.223333333333333,2.134,Dermatological,medium
Atopic Dermatitis,Fluticasone Propionate,On Label,RX,7,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Prednisone,On Label,RX,7,1.0,3.0,1.0,low,low,Very Low,1.6666666666666667,1.4000000000000001,Dermatological,medium
Atopic Dermatitis,Dexamethasone,On Label,RX,7,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,7,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,6,3.0,3.67,2.67,low,medium,Low,3.1133333333333333,3.0679999999999996,Dermatological,medium
Atopic Dermatitis,Hydrocortisone,On Label,OTC,6,1.8,3.2,3.0,low,medium,Low,2.6666666666666665,2.3200000000000003,Dermatological,medium
Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,6,3.0,3.5,3.0,low,medium,Low,3.1666666666666665,3.1,Dermatological,medium
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,6,3.5,4.5,3.5,medium,high,Medium,3.8333333333333335,3.7,Dermatological,medium
Atopic Dermatitis,Hydrocortisone,On Label,OTC,6,1.0,5.0,1.0,low,high,Very Low,2.3333333333333335,1.8,Dermatological,medium
Atopic Dermatitis,Doxepin,On Label,RX,6,3.67,3.67,3.33,medium,medium,Medium,3.5566666666666666,3.602,Dermatological,medium
Atopic Dermatitis,Flurandrenolide,On Label,RX,6,3.0,3.0,3.0,low,low,Low,3.0,3.0,Dermatological,medium
Atopic Dermatitis,Betamethasone Dipropionate,On Label,RX,6,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,5,4.0,4.5,4.5,medium,high,Very High,4.333333333333333,4.2,Dermatological,medium
Atopic Dermatitis,Desoximetasone,On Label,RX,5,3.0,3.0,3.0,low,low,Low,3.0,3.0,Dermatological,medium
Atopic Dermatitis,Doxepin,On Label,RX,5,5.0,4.5,4.5,high,high,Very High,4.666666666666667,4.8,Dermatological,medium
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,5,4.0,3.5,4.0,medium,medium,High,3.8333333333333335,3.9000000000000004,Dermatological,medium
Atopic Dermatitis,Cetirizine,Off Label,OTC,5,4.0,5.0,5.0,medium,high,Very High,4.666666666666667,4.4,Dermatological,medium
Atopic Dermatitis,"Hydrocortisone, Pramoxine-Benzyl Alcohol",On Label,OTC,5,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,"Desonide-Emollient Combo No 28, Desonide",On Label,RX,4,1.5,3.0,1.0,low,low,Very Low,1.8333333333333333,1.7,Dermatological,medium
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,4,4.0,4.0,2.0,medium,medium,Very Low,3.3333333333333335,3.6,Dermatological,medium
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,4,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Fluocinolone,On Label,RX,4,4.0,3.5,3.5,medium,medium,Medium,3.6666666666666665,3.8000000000000003,Dermatological,medium
Atopic Dermatitis,Dexamethasone,On Label,RX,4,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Dexamethasone,On Label,RX,4,3.0,3.0,3.0,low,low,Low,3.0,3.0,Dermatological,medium
Atopic Dermatitis,Alclometasone,On Label,RX,4,4.5,5.0,4.5,high,high,Very High,4.666666666666667,4.6,Dermatological,medium
Atopic Dermatitis,Alclometasone,On Label,RX,4,1.0,5.0,1.0,low,high,Very Low,2.3333333333333335,1.8,Dermatological,medium
Atopic Dermatitis,Prednisolone Sodium Phosphate,On Label,RX,3,4.0,3.67,3.67,medium,medium,High,3.78,3.868,Dermatological,medium
Atopic Dermatitis,Dexamethasone Sodium Phosphate,On Label,RX,3,3.5,4.5,3.0,medium,high,Low,3.6666666666666665,3.6,Dermatological,medium
Atopic Dermatitis,Flurandrenolide,On Label,RX,3,3.0,5.0,4.0,low,high,High,4.0,3.5999999999999996,Dermatological,medium
Atopic Dermatitis,Amcinonide,On Label,RX,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Hydrocortisone Butyrate,On Label,RX,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Fluocinonide,On Label,RX,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,"Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh",On Label,Unknown,3,2.0,3.0,2.5,low,low,Low,2.5,2.3,Dermatological,medium
Atopic Dermatitis,Tacrolimus,On Label,RX,3,5.0,4.0,5.0,high,medium,Very High,4.666666666666667,4.8,Dermatological,medium
Atopic Dermatitis,Betamethasone Valerate,On Label,RX,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Hydrocortisone,On Label,OTC,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,"Prednisolone, Prednisolone Sodium Phosphate",On Label,RX,3,1.0,3.0,2.0,low,low,Very Low,2.0,1.6,Dermatological,medium
Atopic Dermatitis,Hydrocortisone Valerate,On Label,RX,3,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,medium
Atopic Dermatitis,Desonide,On Label,RX,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,medium
Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Diflorasone,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Amcinonide,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Diflorasone-Emollient,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2,4.0,1.0,4.0,medium,low,High,3.0,3.4000000000000004,Dermatological,low
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2,1.0,5.0,1.0,low,high,Very Low,2.3333333333333335,1.8,Dermatological,low
Atopic Dermatitis,Hydrocortisone Probutate,On Label,RX,2,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Hydrocortisone,On Label,OTC,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2,3.5,3.5,3.5,medium,medium,Medium,3.5,3.5000000000000004,Dermatological,low
Atopic Dermatitis,Triamcinolone-Emollient Comb86,On Label,RX,2,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Hydrocortisone Acetate,On Label,OTC,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Fluocinonide-Emollient,On Label,RX,2,4.0,4.0,5.0,medium,medium,Very High,4.333333333333333,4.2,Dermatological,low
Atopic Dermatitis,Dexamethasone Sodium Phos (PF),On Label,RX,2,5.0,4.0,5.0,high,medium,Very High,4.666666666666667,4.8,Dermatological,low
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,2,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Cetirizine,Off Label,OTC,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Flurandrenolide,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Dexamethasone,On Label,RX,2,4.0,5.0,5.0,medium,high,Very High,4.666666666666667,4.4,Dermatological,low
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,2,3.0,2.0,1.0,low,low,Very Low,2.0,2.4,Dermatological,low
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,2,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Methylprednisolone,On Label,RX,1,2.0,4.0,3.0,low,medium,Low,3.0,2.6,Dermatological,low
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Hydrocortisone-Iodoquinol,Unknown,RX,1,4.0,4.0,4.0,medium,medium,High,4.0,4.0,Dermatological,low
Atopic Dermatitis,Clobetasol-Emollient,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Dermatological,low
Atopic Dermatitis,Hydrocortisone Sod Succinate,On Label,RX,1,3.0,3.0,4.0,low,low,High,3.3333333333333335,3.2,Dermatological,low
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1,1.0,5.0,1.0,low,high,Very Low,2.3333333333333335,1.8,Dermatological,low
Atopic Dermatitis,Dexamethasone,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Dexamethasone,On Label,RX,1,4.0,5.0,4.0,medium,high,High,4.333333333333333,4.2,Dermatological,low
Atopic Dermatitis,"Salicylic Acid, Hydrocortisone",On Label,OTC,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Dermatological,low
Atopic Dermatitis,Fluocinolone And Shower Cap,On Label,RX,1,5.0,3.0,5.0,high,low,Very High,4.333333333333333,4.6,Dermatological,low
